channel,sample-10011,sample-10012,sample-20021,sample-20022,sample-30031,sample-30032,sample-10041,sample-10042,sample-10051,sample-10052,sample-10061,sample-10062,sample-10071,sample-10072,sample-40081,sample-40082,sample-10091,sample-10092,sample-10111,sample-10112,sample-20121,sample-20122,sample-10151,sample-10152,sample-30161,sample-30162,sample-10171,sample-10172,sample-10181,sample-10182,sample-10191,sample-10192,sample-10201,sample-10202,sample-10211,sample-10212,sample-10221,sample-10222,sample-10231,sample-10232,sample-10241,sample-10242,sample-10251,sample-10252,sample-10261,sample-10262
1697.52,2512.7,2111.3,3357.1,3605.8,5520.0,5648.4,2347.6,2460.6,2625.7,2628.0,3254.9,2697.3,2423.4,2443.1,4654.8,5715.8,2660.9,2770.6,2413.4,2664.3,3334.9,3929.1,2286.6,2329.4,2733.7,2310.8,1689.4,1801.2,2011.4,1984.3,1929.4,1813.9,2439.6,2078.0,2018.2,2221.5,2011.0,2008.4,2066.7,2047.0,1716.6,1822.8,1675.0,1980.2,1794.8,1711.7
1699.25,2257.3,1940.4,3171.1,3421.4,5292.6,5381.6,2142.8,2281.6,2403.8,2428.6,3059.8,2509.0,2195.0,2226.5,4556.8,5516.5,2454.9,2536.4,2195.1,2435.8,3138.0,3704.3,2023.1,2082.2,2530.5,2113.8,1551.1,1688.7,1830.5,1868.9,1834.0,1736.8,2290.9,1920.7,1893.0,2077.4,1848.5,1874.0,1947.3,1897.8,1558.5,1767.1,1574.1,1864.3,1707.8,1569.7
1700.98,2375.0,2028.0,3238.8,3463.1,5375.7,5427.2,2194.4,2350.8,2512.1,2504.4,3192.8,2619.4,2298.1,2310.9,4632.2,5657.4,2536.8,2621.8,2291.1,2529.6,3206.0,3866.2,2127.1,2213.0,2640.4,2199.0,1600.7,1720.3,1928.5,1921.4,1844.9,1826.3,2372.7,2013.6,1973.5,2143.7,1910.3,1947.3,1974.0,1939.1,1594.6,1807.3,1629.4,1908.6,1744.6,1613.6
1702.71,2224.5,1917.6,3143.8,3319.7,5184.5,5296.2,2102.1,2215.9,2374.6,2366.2,3005.2,2487.1,2179.9,2140.7,4548.0,5562.3,2416.7,2498.7,2144.0,2362.5,3097.7,3666.2,2012.2,2091.0,2516.6,2074.1,1516.4,1660.9,1839.0,1821.7,1772.0,1721.5,2225.8,1887.4,1845.5,2025.2,1820.8,1847.8,1924.8,1883.1,1564.2,1749.2,1560.5,1830.8,1666.9,1540.2
1704.44,2419.1,2085.8,3333.6,3455.9,5349.9,5424.2,2244.6,2392.8,2538.7,2528.9,3193.0,2620.1,2358.1,2347.1,4696.0,5640.7,2575.1,2642.9,2297.6,2567.9,3259.1,3835.8,2181.4,2253.7,2695.2,2264.5,1636.3,1748.0,1974.3,1901.0,1889.5,1783.5,2372.0,2065.7,1984.6,2150.3,1966.6,1965.9,1962.5,1995.8,1645.8,1823.0,1658.7,1910.2,1738.2,1659.7
1706.17,2352.6,1993.7,3214.5,3413.4,5247.2,5345.8,2183.2,2340.0,2482.9,2473.3,3062.9,2572.4,2236.9,2279.1,4632.0,5662.5,2515.0,2579.6,2267.6,2492.7,3201.4,3799.2,2102.1,2193.6,2633.6,2171.4,1597.6,1682.4,1905.0,1865.1,1864.0,1761.9,2319.1,1959.8,1885.3,2104.7,1925.0,1897.5,1938.6,1914.9,1589.4,1795.7,1653.2,1901.9,1726.3,1584.7
1707.9,2163.9,1851.4,3034.5,3222.2,5018.2,5196.3,2032.8,2172.5,2302.7,2255.7,2908.8,2396.6,2099.0,2074.6,4568.3,5525.8,2271.7,2371.1,2073.4,2329.8,3006.2,3593.5,1922.1,2016.8,2391.5,1997.4,1492.9,1629.9,1785.6,1778.3,1758.9,1657.2,2199.3,1845.8,1799.3,1968.7,1799.2,1809.5,1853.9,1797.0,1517.8,1734.5,1543.0,1795.5,1613.4,1516.0
1709.62,2289.4,1908.6,3181.1,3313.7,5085.7,5297.6,2122.4,2257.1,2392.5,2414.9,3022.1,2479.3,2175.6,2191.0,4631.3,5623.0,2399.6,2552.0,2189.0,2467.1,3121.4,3723.0,2064.7,2142.9,2538.5,2089.0,1584.0,1690.1,1827.2,1840.2,1802.3,1707.8,2266.9,1929.2,1862.3,2069.0,1845.7,1862.4,1905.5,1894.8,1556.1,1776.6,1609.0,1820.5,1680.2,1595.1
1711.35,2548.0,2199.5,3449.9,3645.0,5452.3,5579.3,2382.0,2546.7,2677.9,2684.4,3325.7,2761.3,2477.1,2511.8,4765.0,5752.6,2671.9,2758.6,2488.7,2726.4,3395.8,3997.6,2335.4,2390.3,2842.0,2367.0,1702.9,1798.8,2025.8,2021.6,1963.2,1864.5,2489.2,2149.2,2046.4,2262.1,2046.2,2076.8,2066.9,2070.1,1744.9,1916.5,1722.0,2006.5,1824.9,1702.9
1713.07,2237.8,1901.7,3144.4,3286.1,5113.7,5304.8,2081.7,2229.5,2362.1,2378.3,3000.5,2465.8,2197.7,2159.1,4636.5,5579.8,2362.0,2490.9,2132.6,2367.3,3076.5,3694.1,1999.0,2053.2,2487.4,2059.5,1557.4,1661.8,1813.9,1815.2,1777.0,1710.1,2267.6,1897.5,1862.4,2038.4,1850.8,1849.7,1887.4,1859.3,1553.6,1746.7,1580.7,1869.8,1676.0,1566.1
